sku_digiflazz,name,category,provider,base_price_minor,is_active,metadata,main_category,sub_category,product_type
pulsa-telkomsel-b5323f2e,Cek Hutang Pulsa Telkomsel,Pulsa,TELKOMSEL,600,true,"{""type"":""Cek Hutang"",""description"":""-"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Cek Hutang
pulsa-telkomsel-5c5bcc30,Telkomsel 2.000,Pulsa,TELKOMSEL,210500,true,"{""type"":""Umum"",""description"":""Reguler"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Umum
pulsa-telkomsel-b8f074c8,Telkomsel 3.000,Pulsa,TELKOMSEL,335500,true,"{""type"":""Umum"",""description"":""Reguler"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Umum
pulsa-telkomsel-ad871fe0,Telkomsel 5.000,Pulsa,TELKOMSEL,400000,true,"{""type"":""Umum"",""description"":""Reguler"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Umum
pulsa-telkomsel-d2530434,Telkomsel 4.000,Pulsa,TELKOMSEL,435500,true,"{""type"":""Umum"",""description"":""Reguler"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Umum
pulsa-telkomsel-65f2397f,Telkomsel 6.000,Pulsa,TELKOMSEL,644000,true,"{""type"":""Umum"",""description"":""Reguler"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Umum
pulsa-telkomsel-b4d378b5,Telkomsel 7.000,Pulsa,TELKOMSEL,750000,true,"{""type"":""Umum"",""description"":""Reguler"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Umum
pulsa-telkomsel-54e7bb2a,Telkomsel 8.000,Pulsa,TELKOMSEL,844000,true,"{""type"":""Umum"",""description"":""Reguler"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Umum
pulsa-telkomsel-f54fb88b,Telkomsel 10.000,Pulsa,TELKOMSEL,844500,true,"{""type"":""Umum"",""description"":""Reguler"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Umum
pulsa-telkomsel-3d7573ce,Telkomsel 9.000,Pulsa,TELKOMSEL,944000,true,"{""type"":""Umum"",""description"":""Reguler"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Umum
pulsa-telkomsel-099d586f,Telkomsel 11.000,Pulsa,TELKOMSEL,1176000,true,"{""type"":""Umum"",""description"":""Reguler"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Umum
pulsa-telkomsel-148cbdee,Telkomsel 12.000,Pulsa,TELKOMSEL,1276000,true,"{""type"":""Umum"",""description"":""Reguler"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Umum
pulsa-telkomsel-65581f23,Telkomsel 13.000,Pulsa,TELKOMSEL,1376000,true,"{""type"":""Umum"",""description"":""Reguler"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Umum
pulsa-telkomsel-a84558c6,Telkomsel 15.000,Pulsa,TELKOMSEL,1400000,true,"{""type"":""Umum"",""description"":""Reguler"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Umum
pulsa-telkomsel-832e6ac9,Telkomsel 14.000,Pulsa,TELKOMSEL,1476000,true,"{""type"":""Umum"",""description"":""Reguler"",""image_url"":""https://cdn.mobilepulsa.net/img/logo/pulsa/small/telkomsel.png""}",Pulsa,TELKOMSEL,Umum
